Pos,Team,Continent,Group,TotalMatch,Pld,W,D,L,GF,GA,GD,Qualification,Pts,HW,HL,HD,HAW,HAL,HAD,HomeGoals,HomeGAgainst,HAGoals,HAAgainst,Games_Win,Games_WinHome,Games_WinAway
3, Argentina,SouthAmerica,D,180,18,7,7,4,19,16,3,Qualification to 2018 FIFA World Cup,28,4,2,3,3,2,4,9,5,10,11,0.388888889,0.444444444,0.333333333
4, Colombia,SouthAmerica,H,180,18,7,6,5,21,19,2,Qualification to 2018 FIFA World Cup,27,4,2,3,3,3,3,12,7,9,12,0.388888889,0.444444444,0.333333333
5, Peru,SouthAmerica,C,180,18,7,5,6,27,26,1,Qualification to 2018 FIFA World Cup,26,4,2,3,3,4,2,15,14,12,12,0.444444444,0.666666667,0.222222222
6, Chile,SouthAmerica,,180,18,8,2,8,26,27,_1,none,26,6,2,1,2,6,1,17,10,9,17,0.388888889,0.333333333,0.444444444
7, Paraguay,SouthAmerica,,180,18,7,3,8,19,25,_6,none,24,3,4,2,4,4,1,10,13,9,12,0.333333333,0.444444444,0.222222222
8, Ecuador,SouthAmerica,,180,18,6,2,10,26,29,_3,none,20,4,4,1,2,6,1,14,13,12,16,0.222222222,0.444444444,0
9, Bolivia,SouthAmerica,,180,18,4,2,12,16,38,_22,none,14,4,3,2,0,9,0,12,12,4,26,0.111111111,0.111111111,0.111111111
10, Venezuela,SouthAmerica,,180,18,2,6,10,19,35,_16,none,12,1,4,4,1,6,2,11,14,8,21,0.7,0.8,0.6
1, France,Europe,C,540,10,7,2,1,18,6,12,Qualification to 2018 FIFA World Cup,23,4,0,1,3,1,1,12,3,6,3,0.6,0.8,0.4
2, Sweden,Europe,F,540,10,6,1,3,26,9,17,Qualification to 2018 FIFA World Cup,19,4,0,1,2,3,0,18,2,8,7,0.6,0.8,0.4
3, Netherlands,Europe,,540,10,6,1,3,21,12,9,none,19,4,1,0,2,2,1,14,3,7,9,0.4,0.8,0
4, Bulgaria,Europe,,540,10,4,1,5,14,19,_5,none,13,4,1,0,0,4,1,10,8,4,13,0.1,0.2,0
5, Luxembourg,Europe,,540,10,1,3,6,8,26,_18,none,6,1,3,1,0,3,2,4,8,4,18,0.1,0.2,0
6, Belarus,Europe,,540,10,1,2,7,6,21,_15,none,5,1,2,2,0,5,0,4,9,2,12,0.9,1,0.8
1, Portugal,Europe,B,540,10,9,0,1,32,4,28,Qualification to 2018 FIFA World Cup,27,5,0,0,4,1,0,20,2,12,2,0.9,1,0.8
2,  Switzerland,Europe,E,540,10,9,0,1,23,7,16,Qualification to 2018 FIFA World Cup,27,5,0,0,4,1,0,13,2,10,5,0.4,0.6,0.2
3, Hungary,Europe,,540,10,4,1,5,14,14,0,none,13,3,2,0,1,3,1,10,5,4,9,0.2,0.2,0.2
4, Faroe Islands,Europe,,540,10,2,3,5,4,16,_12,none,9,1,2,2,1,3,1,1,8,3,8,0.2,0.2,0.2
5, Latvia,Europe,,540,10,2,1,7,7,18,_11,none,7,1,4,0,1,3,1,4,10,3,8,0.1,0.2,0
6, Andorra,Europe,,540,10,1,1,8,2,23,_21,none,4,1,3,1,0,5,0,2,5,0,18,1,1,1
1, Germany,Europe,F,540,10,10,0,0,43,4,39,Qualification to 2018 FIFA World Cup,30,5,0,0,5,0,0,23,1,20,3,0.6,0.8,0.4
2, Northern Ireland,Europe,,540,10,6,1,3,17,6,11,none,19,4,1,0,2,2,1,13,3,4,3,0.4,0.4,0.4
3, Czech Republic,Europe,,540,10,4,3,3,17,10,7,none,15,2,1,2,2,2,1,8,0,9,7,0.4,0.6,0.2
4, Norway,Europe,,540,10,4,1,5,17,16,1,none,13,3,1,1,1,4,0,8,5,9,11,0.3,0.4,0.2
5, Azerbaijan,Europe,,540,10,3,1,6,10,19,_9,none,10,2,3,0,1,3,1,8,8,2,11,0,0,0
6, San Marino,Europe,,540,10,0,0,10,2,51,_49,none,0,0,5,0,0,5,0,0,26,2,25,0.6,0.6,0.6
1, Serbia,Europe,E,540,10,6,3,1,20,10,10,Qualification to 2018 FIFA World Cup,21,3,0,2,3,1,1,10,5,10,5,0.5,0.4,0.6
2, Republic of Ireland,Europe,,540,10,5,4,1,12,6,6,none,19,2,1,2,3,1,1,4,2,8,4,0.4,0.4,0.4
3, Wales,Europe,,540,10,4,5,1,13,6,7,none,17,2,1,2,2,0,3,7,3,6,3,0.4,0.4,0.4
4, Austria,Europe,,540,10,4,3,3,14,12,2,none,15,2,1,2,2,2,1,8,6,6,6,0,0,0
5, Georgia,Europe,,540,10,0,5,5,8,14,_6,none,5,0,3,2,0,2,3,4,8,4,6,0,0,0
6, Moldova,Europe,,540,10,0,2,8,4,23,_19,none,2,0,4,1,0,4,1,3,11,1,12,0.8,1,0.6
1, Poland,Europe,H,540,10,8,1,1,28,14,14,Qualification to 2018 FIFA World Cup,25,5,0,0,3,1,1,15,6,13,8,0.6,0.6,0.6
2, Denmark,Europe,C,540,10,6,2,2,20,8,12,Qualification to 2018 FIFA World Cup,20,3,1,1,3,1,1,10,3,10,5,0.5,0.6,0.4
3, Montenegro,Europe,,540,10,5,1,4,20,12,8,none,16,3,2,0,2,2,1,11,4,9,8,0.3,0.4,0.2
4, Romania,Europe,,540,10,3,4,3,12,10,2,none,13,2,1,2,1,2,2,5,5,7,5,0.2,0.4,0
5, Armenia,Europe,,540,10,2,1,7,10,26,_16,none,7,2,3,0,0,4,1,7,17,3,9,0,0,0
6, Kazakhstan,Europe,,540,10,0,3,7,6,26,_20,none,3,0,2,3,0,5,0,4,9,2,17,0.8,1,0.6
1, England,Europe,G,540,10,8,2,0,18,3,15,Qualification to 2018 FIFA World Cup,26,5,0,0,3,0,2,10,1,8,2,0.6,0.8,0.4
2, Slovakia,Europe,,540,10,6,0,4,17,7,10,none,18,4,1,0,2,3,0,11,1,6,6,0.5,0.6,0.4
3, Scotland,Europe,,540,10,5,3,2,17,12,5,none,18,3,0,2,2,2,1,7,3,10,9,0.4,0.6,0.2
4, Slovenia,Europe,,540,10,4,3,3,12,7,5,none,15,3,0,2,1,3,1,9,2,3,5,0.1,0.2,0
5, Lithuania,Europe,,540,10,1,3,6,7,20,_13,none,6,1,3,1,0,3,2,5,8,2,12,0,0,0
6, Malta,Europe,,540,10,0,1,9,3,25,_22,none,1,0,4,1,0,5,0,3,14,0,11,0.9,1,0.8
1, Spain,Europe,B,540,10,9,1,0,36,3,33,Qualification to 2018 FIFA World Cup,28,5,0,0,4,0,1,22,0,14,2,0.7,0.6,0.8
2, Italy,Europe,,540,10,7,2,1,21,8,13,none,23,3,0,2,4,1,0,10,2,11,6,0.4,0.4,0.4
3, Albania,Europe,,540,10,4,1,5,10,13,_3,none,13,2,3,0,2,2,1,4,7,6,6,0.4,0.2,0.6
4, Israel,Europe,,540,10,4,0,6,10,15,_5,none,12,1,4,0,3,2,0,3,9,7,6,0.3,0.2,0.4
5, Macedonia,Europe,,540,10,3,2,5,15,15,0,none,11,1,3,1,2,2,1,9,8,6,7,0,0,0
6, Liechtenstein,Europe,,540,10,0,0,10,1,39,_38,none,0,0,5,0,0,5,0,0,18,1,21,0.9,0.8,1
1, Belgium,Europe,G,540,10,9,1,0,43,6,37,Qualification to 2018 FIFA World Cup,28,4,0,1,5,0,0,26,2,17,4,0.5,0.4,0.6
2, Greece,Europe,,540,10,5,4,1,17,6,11,none,19,2,1,2,3,0,2,8,3,9,3,0.5,0.6,0.4
3, Bosnia and Herzegovina,Europe,,540,10,5,2,3,24,13,11,none,17,3,1,1,2,2,1,15,4,9,9,0.3,0.4,0.2
4, Estonia,Europe,,540,10,3,2,5,13,19,_6,none,11,2,3,0,1,2,2,6,6,7,13,0.3,0.4,0.2
5, Cyprus,Europe,,540,10,3,1,6,9,18,_9,none,10,2,2,1,1,4,0,7,8,2,10,0,0,0
6, Gibraltar,Europe,,540,10,0,0,10,3,47,_44,none,0,0,5,0,0,5,0,2,22,1,25,0.7,1,0.4
1, Iceland,Europe,D,540,10,7,1,2,16,7,9,Qualification to 2018 FIFA World Cup,22,5,0,0,2,2,1,10,0,6,5,0.6,0.6,0.6
2, Croatia,Europe,D,540,10,6,2,2,15,4,11,Qualification to 2018 FIFA World Cup,20,3,2,0,3,2,0,6,2,9,2,0.5,0.6,0.4
3, Ukraine,Europe,,540,10,5,2,3,13,9,4,none,17,3,1,1,2,2,1,7,3,6,6,0.4,0.6,0.2
4, Turkey,Europe,,540,10,4,3,3,14,13,1,none,15,3,1,1,1,2,2,7,5,7,8,0.2,0.2,0.2
5, Finland,Europe,,540,10,2,3,5,9,13,_4,none,9,1,2,2,1,3,1,5,6,4,7,0,0,0
6, Kosovo,Europe,,540,10,0,1,9,3,24,_21,none,1,0,5,0,0,4,1,2,15,1,9,#DIV/0!,#DIV/0!,#DIV/0!
