Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification,iran,South Korea,Syria, Uzbekistan, China PR, Qatar,,,,
6, Trinidad and Tobago,10,2,0,8,7,19,_12,6,2,3,0,0,5,0,,0–1,0–2,1–0,1–2,2–1,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Brazil, Uruguay, Argentina, Colombia, Peru, Chile, Paraguay, Ecuador, Bolivia, Venezuela
1, Brazil,18,12,5,1,41,11,30,41,8,0,1,4,1,4,Qualification to 2018 FIFA World Cup,—,2–2,3–0,2–1,3–0,3–0,3–0,2–0,5–0,3–1
2, Uruguay,18,9,4,5,32,20,12,31,7,1,1,2,4,3,,1–4,—,0–0,3–0,1–0,3–0,4–0,2–1,4–2,3–0
3, Argentina,18,7,7,4,19,16,3,28,4,2,3,3,2,4,,1–1,1–0,—,3–0,0–0,1–0,0–1,0–2,2–0,1–1
4, Colombia,18,7,6,5,21,19,2,27,4,2,3,3,3,3,,1–1,2–2,0–1,—,2–0,0–0,1–2,3–1,1–0,2–0
5, Peru,18,7,5,6,27,26,1,26,4,2,3,3,4,2,Advance to inter-confederation play-offs,0–2,2–1,2–2,1–1,—,3–4,1–0,2–1,2–1,2–2
6, Chile,18,8,2,8,26,27,_1,26,6,2,1,2,6,1,,2–0,3–1,1–2,1–1,2–1,—,0–3,2–1,3–0,3–1
7, Paraguay,18,7,3,8,19,25,_6,24,3,4,2,4,4,1,,2–2,1–2,0–0,0–1,1–4,2–1,—,2–1,2–1,0–1
8, Ecuador,18,6,2,10,26,29,_3,20,4,4,1,2,6,1,,0–3,2–1,1–3,0–2,1–2,3–0,2–2,—,2–0,3–0
9, Bolivia,18,4,2,12,16,38,_22,14,4,3,2,0,9,0,,0–0,0–2,2–0,2–3,0–3,1–0,1–0,2–2,—,4–2
10, Venezuela,18,2,6,10,19,35,_16,12,1,4,4,1,6,2,,0–2,0–0,2–2,0–0,2–2,1–4,0–1,1–3,5–0,—
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, France, Sweden, Netherlands, Bulgaria, Luxembourg, Belarus,,,,
1, France,10,7,2,1,18,6,12,23,4,0,1,3,1,1,Qualification to 2018 FIFA World Cup,—,2–1,4–0,4–1,0–0,2–1,,,,
2, Sweden,10,6,1,3,26,9,17,19,4,0,1,2,3,0,Advance to second round,2–1,—,1–1,3–0,8–0,4–0,,,,
3, Netherlands,10,6,1,3,21,12,9,19,4,1,0,2,2,1,,0–1,2–0,—,3–1,5–0,4–1,,,,
4, Bulgaria,10,4,1,5,14,19,_5,13,4,1,0,0,4,1,,0–1,3–2,2–0,—,4–3,1–0,,,,
5, Luxembourg,10,1,3,6,8,26,_18,6,1,3,1,0,3,2,,1–3,0–1,1–3,1–1,—,1–0,,,,
6, Belarus,10,1,2,7,6,21,_15,5,1,2,2,0,5,0,,0–0,0–4,1–3,2–1,1–1,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Portugal,  Switzerland, Hungary, Faroe Islands, Latvia, Andorra,,,,
